student_id,attendance_rate,avg_quiz_score,meals_program,at_risk
STU0001,0.799,82.2,no,no
STU0002,0.9123,100.0,no,no
STU0003,0.7763,95.8,yes,no
STU0004,0.9979,100.0,no,no
STU0005,0.8298,91.9,no,no
STU0006,0.8912,100.0,no,no
STU0007,0.7332,78.1,no,no
STU0008,0.7817,99.7,yes,no
STU0009,0.8612,74.8,no,no
STU0010,0.7478,95.2,no,no
STU0011,0.6809,73.0,no,yes
STU0012,1.0,98.0,yes,no
STU0013,0.9832,100.0,no,no
STU0014,0.8281,70.7,yes,no
STU0015,1.0,93.1,no,no
STU0016,,100.0,no,no
STU0017,0.8242,100.0,no,no
STU0018,0.731,56.2,yes,yes
STU0019,0.645,78.4,no,yes
STU0020,0.9498,81.3,no,no
STU0021,0.739,84.0,yes,yes
STU0022,0.9973,82.3,yes,no
STU0023,0.5474,68.2,yes,yes
STU0024,0.9639,100.0,no,no
STU0025,0.6638,70.3,yes,yes
STU0026,0.8773,82.7,no,yes
STU0027,0.7175,71.4,yes,yes
STU0028,0.905,100.0,no,no
STU0029,0.5645,74.8,yes,no
STU0030,0.8599,100.0,no,no
STU0031,0.7267,81.2,no,no
STU0032,0.7748,90.8,no,no
STU0033,0.6948,81.5,yes,no
STU0034,0.7731,81.4,no,yes
STU0035,0.8783,100.0,no,no
STU0036,0.7076,59.4,no,no
STU0037,1.0,89.4,no,no
STU0038,1.0,99.9,no,no
STU0039,0.611,75.2,yes,no
STU0040,0.7802,78.0,yes,no
STU0041,0.8598,93.2,no,no
STU0042,0.8742,92.6,no,no
STU0043,,79.7,yes,yes
STU0044,0.7992,71.9,yes,no
STU0045,1.0,100.0,no,no
STU0046,0.7065,68.4,no,no
STU0047,0.6627,82.7,yes,no
STU0048,0.7802,81.6,no,no
STU0049,0.9805,100.0,no,no
STU0050,0.8845,71.5,yes,no
STU0051,0.6422,76.9,no,yes
STU0052,0.924,82.7,no,no
STU0053,0.8273,61.9,yes,no
STU0054,0.7378,80.8,no,no
STU0055,0.6763,77.3,yes,no
STU0056,0.8345,88.9,no,no
STU0057,0.9551,83.4,no,no
STU0058,0.7542,98.5,no,no
STU0059,0.878,85.5,no,yes
STU0060,0.6632,71.8,no,no
STU0061,0.4332,69.3,yes,no
STU0062,0.8722,68.7,no,yes
STU0063,0.627,57.0,no,yes
STU0064,0.8128,98.9,yes,no
STU0065,,86.8,no,yes
STU0066,0.7479,76.3,no,no
STU0067,0.9242,80.9,yes,no
STU0068,0.718,82.7,yes,no
STU0069,0.8479,83.1,yes,yes
STU0070,0.7835,91.9,yes,no
STU0071,0.681,87.8,no,no
STU0072,0.8305,84.1,no,no
STU0073,0.717,78.3,no,no
STU0074,0.6533,67.3,no,yes
STU0075,,74.8,yes,yes
STU0076,0.5987,69.7,yes,yes
STU0077,0.6269,58.4,yes,yes
STU0078,0.7979,83.7,no,yes
STU0079,0.885,67.8,no,no
STU0080,0.8306,94.5,yes,yes
STU0081,0.8076,100.0,no,no
STU0082,0.9116,100.0,no,no
STU0083,0.8562,65.5,yes,no
STU0084,0.8804,67.9,no,no
STU0085,0.7161,78.6,no,no
STU0086,0.9564,100.0,no,no
STU0087,0.6836,71.8,yes,no
STU0088,0.8104,82.7,no,no
STU0089,0.7185,76.5,yes,yes
STU0090,0.7089,100.0,no,no
STU0091,0.7415,92.8,yes,no
STU0092,0.6098,83.1,yes,yes
STU0093,0.6984,69.9,no,no
STU0094,0.7396,68.1,yes,yes
STU0095,0.9879,83.7,no,no
STU0096,0.8573,66.8,no,no
STU0097,0.6929,89.2,yes,no
STU0098,0.8003,96.3,no,no
STU0099,0.8095,65.4,yes,no
STU0100,0.8393,79.1,no,no
STU0101,0.5207,68.1,yes,yes
STU0102,0.7227,86.5,no,no
STU0103,0.84,90.0,no,no
STU0104,0.9884,82.5,no,no
STU0105,0.8241,76.3,no,yes
STU0106,0.6443,79.5,yes,no
STU0107,0.9119,100.0,no,no
STU0108,0.9763,100.0,no,no
STU0109,0.6927,88.4,yes,no
STU0110,0.9527,93.1,yes,no
STU0111,0.9674,99.6,yes,no
STU0112,0.6206,74.1,yes,no
STU0113,0.6669,89.3,no,no
STU0114,0.6572,84.9,yes,no
STU0115,0.6414,63.9,yes,yes
STU0116,0.8006,80.8,no,no
STU0117,0.7764,86.8,no,yes
STU0118,0.8747,97.1,no,no
STU0119,1.0,100.0,yes,no
STU0120,0.7974,92.0,no,no
STU0121,,93.0,no,no
STU0122,0.859,99.9,no,no
STU0123,0.7033,90.4,yes,no
STU0124,0.9372,90.8,no,no
STU0125,1.0,73.4,no,no
STU0126,0.5947,71.1,yes,yes
STU0127,0.7715,73.2,no,yes
STU0128,0.8657,89.9,yes,no
STU0129,0.7887,87.5,yes,yes
STU0130,1.0,82.7,no,no
STU0131,0.8463,89.1,no,no
STU0132,0.9123,82.7,no,no
STU0133,0.7867,95.4,no,yes
STU0134,0.5584,64.7,yes,no
STU0135,0.773,78.6,no,no
STU0136,0.7407,67.7,no,yes
STU0137,0.9774,100.0,yes,no
STU0138,0.7388,74.4,no,yes
STU0139,0.8385,83.7,no,no
STU0140,1.0,90.3,no,no
STU0141,0.8614,80.0,no,yes
STU0142,0.6387,65.3,yes,yes
STU0143,0.6911,77.2,no,yes
STU0144,0.7403,91.7,yes,yes
STU0145,0.7483,67.7,no,yes
STU0146,0.7672,75.0,no,yes
STU0147,,81.9,yes,no
STU0148,0.6601,83.4,yes,no
STU0149,1.0,89.2,yes,no
STU0150,0.5311,63.3,yes,no
STU0151,0.6789,66.5,no,yes
STU0152,0.8512,98.4,yes,no
STU0153,0.9735,76.2,no,no
STU0154,0.854,78.5,no,no
STU0155,0.8048,100.0,no,no
STU0156,0.6553,90.2,yes,no
STU0157,0.7318,66.2,no,no
STU0158,0.8018,92.6,no,yes
STU0159,0.597,73.2,yes,yes
STU0160,0.6768,68.8,yes,no
STU0161,0.5783,68.7,yes,yes
STU0162,0.8183,100.0,yes,no
STU0163,0.7187,82.7,no,no
STU0164,0.7674,72.0,no,no
STU0165,0.8712,100.0,no,no
STU0166,0.908,91.8,no,no
STU0167,0.8814,67.4,no,no
STU0168,0.8483,71.8,no,no
STU0169,1.0,92.9,no,no
STU0170,0.8742,88.1,no,no
STU0171,0.7715,84.0,yes,no
STU0172,0.857,78.3,no,yes
STU0173,0.7089,100.0,yes,no
STU0174,0.8339,82.7,yes,no
STU0175,0.846,84.7,yes,no
STU0176,0.396,53.9,yes,yes
STU0177,0.7287,58.7,yes,no
STU0178,1.0,67.5,no,no
STU0179,0.5987,72.9,yes,yes
STU0180,0.8656,82.9,no,yes
STU0181,0.6166,67.0,yes,no
STU0182,1.0,100.0,no,no
STU0183,0.8541,73.4,no,no
STU0184,0.883,95.9,yes,no
STU0185,0.8027,83.0,no,yes
STU0186,1.0,91.2,no,no
STU0187,0.9783,100.0,yes,no
STU0188,0.627,71.1,yes,no
STU0189,1.0,89.3,no,no
STU0190,0.823,77.4,no,no
STU0191,0.6919,67.3,yes,no
STU0192,0.8477,81.6,no,yes
STU0193,0.98,82.7,no,no
STU0194,0.8842,97.5,no,no
STU0195,0.8927,97.2,yes,no
STU0196,0.9519,100.0,no,no
STU0197,1.0,84.3,no,no
STU0198,0.897,86.5,no,no
STU0199,0.5944,67.0,yes,no
STU0200,0.5843,64.2,yes,yes
STU0201,0.7241,72.2,no,no
STU0202,0.4849,59.3,yes,yes
STU0203,0.8214,81.6,no,no
STU0204,0.3894,65.5,yes,yes
STU0205,0.9149,73.7,no,no
STU0206,0.9256,76.8,yes,no
STU0207,0.522,70.2,yes,yes
STU0208,1.0,82.7,yes,no
STU0209,0.816,70.5,no,no
STU0210,0.7914,82.7,no,yes
STU0211,0.8337,85.1,no,yes
STU0212,1.0,82.7,no,no
STU0213,0.5006,55.7,yes,yes
STU0214,0.7186,69.9,yes,no
STU0215,0.6552,86.6,yes,no
STU0216,0.531,69.8,no,no
STU0217,0.6945,82.7,no,yes
STU0218,1.0,100.0,no,no
STU0219,0.8444,100.0,no,no
STU0220,0.9348,88.6,no,no
STU0221,0.7709,82.9,no,no
STU0222,0.7827,78.9,yes,no
STU0223,0.5831,88.6,yes,no
STU0224,0.6671,60.3,yes,yes
STU0225,0.8352,68.1,no,no
STU0226,0.9576,82.7,no,no
STU0227,0.8116,87.8,no,no
STU0228,0.8374,62.5,yes,no
STU0229,1.0,100.0,no,no
STU0230,0.8798,94.5,no,no
STU0231,0.6986,91.6,yes,no
STU0232,0.4435,72.1,yes,yes
STU0233,0.9885,97.0,no,no
STU0234,0.5874,71.0,yes,yes
STU0235,0.8405,82.3,yes,yes
STU0236,0.9613,89.1,no,no
STU0237,0.9897,94.1,no,no
STU0238,0.7813,83.3,no,no
STU0239,0.9387,100.0,no,no
STU0240,0.4979,74.3,yes,yes
STU0241,0.6996,92.5,no,no
STU0242,0.7175,91.5,yes,no
STU0243,1.0,68.5,no,no
STU0244,1.0,100.0,no,no
STU0245,0.774,90.1,no,no
STU0246,1.0,86.4,yes,no
STU0247,0.6849,77.0,yes,yes
STU0248,0.9094,100.0,no,no
STU0249,0.625,78.5,yes,no
STU0250,0.7089,64.2,yes,no
STU0251,0.7447,98.2,yes,no
STU0252,0.6936,80.8,no,no
STU0253,0.683,68.7,no,no
STU0254,0.8032,81.3,no,yes
STU0255,0.8777,84.1,no,no
STU0256,0.8736,86.6,no,no
STU0257,0.7643,86.2,yes,yes
STU0258,0.7624,77.1,yes,no
STU0259,0.4751,77.7,yes,no
STU0260,0.7051,81.1,no,yes
STU0261,0.9413,78.8,no,no
STU0262,0.936,89.5,no,no
STU0263,0.5988,82.7,yes,yes
STU0264,0.8302,78.2,no,no
STU0265,0.5976,67.0,yes,yes
STU0266,,86.5,yes,no
STU0267,0.9165,100.0,no,no
STU0268,0.6946,64.2,no,yes
STU0269,0.8108,85.0,no,yes
STU0270,0.9372,78.6,yes,no
STU0271,0.8835,82.7,yes,no
STU0272,0.7676,94.8,yes,no
STU0273,0.829,100.0,no,no
STU0274,0.6856,83.4,yes,no
STU0275,0.5822,68.2,no,no
STU0276,0.8035,82.7,no,no
STU0277,0.9438,95.4,no,no
STU0278,0.8426,100.0,no,yes
STU0279,,71.7,yes,no
STU0280,0.6514,71.5,yes,yes
STU0281,0.8273,69.0,no,yes
STU0282,0.5497,83.0,yes,yes
STU0283,1.0,100.0,no,no
STU0284,0.8087,91.0,yes,no
STU0285,0.9426,91.1,yes,no
STU0286,0.8051,96.7,yes,no
STU0287,0.9755,89.8,no,no
STU0288,0.7817,73.5,no,yes
STU0289,1.0,83.2,no,no
STU0290,0.7978,78.4,no,no
STU0291,0.7459,100.0,no,no
STU0292,1.0,75.3,no,no
STU0293,,75.7,no,no
STU0294,0.875,90.8,no,no
STU0295,0.7147,75.0,no,yes
STU0296,0.8006,100.0,no,no
STU0297,0.854,82.7,no,no
STU0298,0.6691,72.2,no,yes
STU0299,0.9424,81.7,yes,no
STU0300,0.7569,71.5,no,yes
